"time", "token price", "dai2usdc", "usdc2dai"
1578743920, 1.001109, 0.998649, 1.000463
1578743956, 1.001109, 0.998649, 1.000463
1578744017, 1.001109, 0.998649, 1.000463
1578744078, 1.001109, 0.998649, 1.000463
1578744138, 1.001109, 0.998649, 1.000463
1578744199, 1.001109, 0.998649, 1.000463
1578744260, 1.001109, 0.998649, 1.000463
1578744320, 1.001109, 0.998649, 1.000463
1578744381, 1.001110, 0.998649, 1.000463
1578744442, 1.001110, 0.998649, 1.000463
1578744502, 1.001110, 0.998649, 1.000463
1578744563, 1.001110, 0.998649, 1.000463
1578744624, 1.001110, 0.998649, 1.000463
1578744684, 1.001110, 0.998649, 1.000463
1578744745, 1.001111, 0.998649, 1.000463
1578744805, 1.001111, 0.998649, 1.000463
1578744866, 1.001111, 0.998649, 1.000463
1578744927, 1.001111, 0.998649, 1.000463
1578744987, 1.001111, 0.998649, 1.000463
1578745048, 1.001111, 0.998649, 1.000463
1578745108, 1.001111, 0.998649, 1.000463
1578745169, 1.001111, 0.998649, 1.000463
1578745230, 1.001111, 0.998649, 1.000463
1578745290, 1.001111, 0.998649, 1.000463
1578745351, 1.001112, 0.998649, 1.000463
1578745411, 1.001112, 0.998649, 1.000463
1578745472, 1.001112, 0.998649, 1.000463
1578745533, 1.001112, 0.998649, 1.000463
1578745593, 1.001112, 0.998649, 1.000463
1578745654, 1.001112, 0.998649, 1.000463
1578745714, 1.001112, 0.998649, 1.000463
1578745775, 1.001113, 0.998649, 1.000463
1578745835, 1.001113, 0.998649, 1.000463
1578745896, 1.001113, 0.998649, 1.000463
1578745956, 1.001113, 0.998649, 1.000463
1578746016, 1.001113, 0.998649, 1.000463
1578746077, 1.001113, 0.998649, 1.000463
1578746137, 1.001113, 0.998649, 1.000463
1578746198, 1.001113, 0.998649, 1.000463
1578746258, 1.001114, 0.998649, 1.000463
1578746319, 1.001114, 0.998649, 1.000463
1578746379, 1.001114, 0.998649, 1.000463
1578746440, 1.001114, 0.998649, 1.000463
1578746500, 1.001114, 0.998649, 1.000463
1578746561, 1.001114, 0.998649, 1.000463
1578746621, 1.001114, 0.998649, 1.000463
1578746682, 1.001114, 0.998649, 1.000463
1578746743, 1.001114, 0.998649, 1.000463
1578746803, 1.001115, 0.998649, 1.000463
1578746864, 1.001114, 0.998649, 1.000463
1578746924, 1.001114, 0.998649, 1.000463
1578746985, 1.001115, 0.998649, 1.000463
1578747045, 1.001115, 0.998649, 1.000463
1578747106, 1.001115, 0.998649, 1.000463
1578747166, 1.001115, 0.998649, 1.000463
1578747227, 1.001115, 0.998649, 1.000463
1578747287, 1.001115, 0.998649, 1.000463
1578747348, 1.001115, 0.998649, 1.000463
1578747408, 1.001115, 0.998649, 1.000463
1578747469, 1.001115, 0.998649, 1.000463
1578747530, 1.001116, 0.998649, 1.000463
1578747590, 1.001116, 0.998649, 1.000463
1578747651, 1.001116, 0.998649, 1.000463
1578747711, 1.001116, 0.998649, 1.000463
1578747772, 1.001116, 0.998649, 1.000463
1578747833, 1.001116, 0.998649, 1.000463
1578747893, 1.001116, 0.998649, 1.000463
1578747954, 1.001116, 0.998649, 1.000463
1578748014, 1.001117, 0.998649, 1.000463
1578748075, 1.001117, 0.998649, 1.000463
1578748135, 1.001117, 0.998649, 1.000463
1578748196, 1.001117, 0.998649, 1.000463
1578748257, 1.001117, 0.998649, 1.000463
1578748317, 1.001117, 0.998649, 1.000463
1578748378, 1.001117, 0.998649, 1.000463
1578748438, 1.001117, 0.998649, 1.000463
1578748499, 1.001117, 0.998649, 1.000463
1578748559, 1.001118, 0.998649, 1.000463
1578748620, 1.001118, 0.998649, 1.000463
1578748680, 1.001118, 0.998649, 1.000463
1578748741, 1.001118, 0.998649, 1.000463
1578748802, 1.001118, 0.998649, 1.000463
1578748862, 1.001118, 0.998649, 1.000463
1578748922, 1.001118, 0.998649, 1.000463
1578748983, 1.001118, 0.998649, 1.000463
1578749044, 1.001119, 0.998649, 1.000463
1578749104, 1.001119, 0.998649, 1.000463
1578749165, 1.001119, 0.998649, 1.000463
1578749225, 1.001119, 0.998649, 1.000463
1578749286, 1.001119, 0.998649, 1.000463
1578749346, 1.001119, 0.998649, 1.000463
1578749407, 1.001119, 0.998649, 1.000463
1578749467, 1.001119, 0.998649, 1.000463
1578749528, 1.001119, 0.998649, 1.000463
1578749589, 1.001119, 0.998649, 1.000463
1578749649, 1.001119, 0.999548, 0.999630
1578749710, 1.001120, 0.999548, 0.999630
1578749770, 1.001120, 0.999548, 0.999630
1578749830, 1.001120, 0.999548, 0.999630
